I (318) main: Polysom ESP-IDF starting
I (418) display: Display ready
I (518) main: Reset reason: POWER-ON, boot count 1
I (568) sensors: MMA8451 #0 detected
I (568) sensors: MMA8451 #1 detected
I (578) sensors: LDC1612 detected
I (578) SDP800: product 0x03020201, serial 0x000000008A9CC6E6 - confirmed SDP810-125Pa
I (598) sensors: SDP800 detected
I (598) battery_gauge: Calibration initialized successfully
I (638) sdspi_transaction: cmd=5, R1 response: command not supported
I (788) logger: SD mounted: SC16G 15194 MB
I (12201228) logger: EDF: 1220 records (203.3 min)
I (12301228) logger: EDF: 1230 records (205.0 min)
I (12401228) logger: EDF: 1240 records (206.7 min)
I (12501228) logger: EDF: 1250 records (208.3 min)
I (12601398) logger: EDF: 1260 records (210.0 min)
I (12701228) logger: EDF: 1270 records (211.7 min)
I (12801228) logger: EDF: 1280 records (213.3 min)
I (12901228) logger: EDF: 1290 records (215.0 min)
I (13001228) logger: EDF: 1300 records (216.7 min)
I (13101228) logger: EDF: 1310 records (218.3 min)
I (13201228) logger: EDF: 1320 records (220.0 min)
I (13301228) logger: EDF: 1330 records (221.7 min)
I (13401228) logger: EDF: 1340 records (223.3 min)
I (13501228) logger: EDF: 1350 records (225.0 min)
I (13601228) logger: EDF: 1360 records (226.7 min)
I (13701228) logger: EDF: 1370 records (228.3 min)
I (13801228) logger: EDF: 1380 records (230.0 min)
I (13901228) logger: EDF: 1390 records (231.7 min)
I (14001228) logger: EDF: 1400 records (233.3 min)
